id,name,bio,birth_date,death_date,links,author_photo
1,"David Foster Wallace",none,"21 February 1962","12 September 2008","[{""url"": ""http://en.wikipedia.org/wiki/David_Foster_Wallace"", ""type"": {""key"": ""/type/link""}, ""title"": ""Wikipedia""}]",https://upload.wikimedia.org/wikipedia/commons/e/ea/David_Foster_Wallace.jpg
2,"Philippa Gregory","{'type': '/type/text', 'value': 'Philippa Gregory was born on 9 January 1954 in Nairobi, Kenya, the second daughter of Elaine (Wedd) and Arthur Percy Gregory, a radio operator and navigator for East African Airways. When she was two years old, her family moved to England. She was a ""rebel"" at school, but managed to attend the University of Sussex. She worked in BBC radio for two years before attending the University of Edinburgh, where she earned her doctorate in 18th-century literature, and she was named Alumna of the Year 2009. She has taught at the University of Durham, University of Teesside, and the Open University, and was made a Fellow of Kingston University in 1994. \r\n\r\nPhilippa wrote her first novel Wideacre while completing her a PhD, and living in a cottage on the Pennine Way with first husband Peter Chislett, editor of the Hartlepool Mail, and their baby daughter, Victoria. They divorced before the book was published. Following the success of Wideacre and the publication of The Favoured Child, she moved south to near Midhurst, West Sussex, where the Wideacre trilogy was set. Here she married her second husband Paul Carter, with whom she has a son. She divorced for a second time and married Anthony Mason, who she had first met during her time in Hartlepool. She was an established historian and writer when she discovered her interest in the Tudor period and wrote the novel The Other Boleyn Girl which was made into a tv drama, and a major film. Her love for history and commitment to historical accuracy are the hallmarks of her writing. She also reviews for the Washington Post, the LA Times, and for UK newspapers, and is a regular broadcaster on television, radio, and webcasts. \r\n\r\nPhilippa now lives on a 100-acre (0.40 km2) farm in the North York Moors national park, with her husband, children and stepchildren (six in all). In her Yorkshire farm, she keeps horses, hens and ducks. Her interests include riding, walking, skiing, and gardening. Her other great interest is the charity that she founded nearly twenty years ago: Gardens for The Gambia. She has raised funds and paid for almost 200 in the primary schools of this very dry and poor African country, and thousands of school children have been able to learn market gardening in the school gardens watered by the wells. The charity also provides wells for womens’ collective gardens and for The Gambia’s only agricultural college at Njawara.'}","9 January 1954",none,"[{""url"": ""http://www.philippagregory.com/work/c18th/a-respectable-trade/"", ""type"": {""key"": ""/type/link""}, ""title"": ""Philippa Gregory website""}]",https://upload.wikimedia.org/wikipedia/commons/e/e4/Philippa_gregory_2011.jpg
3,"Ken Kesey","KEN KESEY was born in La Junta, Colorado, but his family later moved to Springfield, Oregon, where he attended public schools, and later the University of Oregon at Eugene. He has received the Woodrow Wilson scholarship to Stanford University and a Saxton Fellowship, and won the Fred Lowe Scholarship awarded to the outstanding wrestler in the Northwest. Mr. Kesey was king of the Merry Pranksters, a group which traveled the West Coast staging happenings; as a leader of this group, Mr. Kesey appeared as subject and star in the bestseller, THE ELECTRIC KOOL-AID ACID TEST, by Tom Wolfe.
At present he is ""scratching his athlete's foot on his farm in Oregon, watching his kids and blueberries grow.""

Photo: By <span title=""must have been published or publicly displayed outside Wikipedia"">Source</span> (<a href=""//en.wikipedia.org/wiki/Wikipedia:Non-free_content_criteria#4"" title=""Wikipedia:Non-free content criteria"">WP:NFCC#4</a>), <a href=""//en.wikipedia.org/wiki/File:Ken_Kesey,_American_author,_1935-2001.jpg"" title=""Fair use of copyrighted material in the context of Ken Kesey"">Fair use</a>, <a href=""https://en.wikipedia.org/w/index.php?curid=54571568"">Link</a>",1935-09-17,2001-11-10,"""none""",https://upload.wikimedia.org/wikipedia/en/9/9b/Ken_Kesey%2C_American_author%2C_1935-2001.jpg
4,"Jerome David Salinger",none,none,none,"""none""",""
5,"Rudyard Kipling","Rudyard Kipling was a British author and poet. Born in Bombay, in British India, he is best known for his works of fiction ""[The Jungle Book][1]"" (1894). He is regarded as a major ""innovator in the art of the short story""; his children's books are enduring classics of children's literature. ([Source][2])


  [1]: /works/OL15400121W/
  [2]: http://en.wikipedia.org/wiki/Rudyard_Kipling","30 December 1865","18 January 1936","[{""url"": ""http://en.wikipedia.org/wiki/Rudyard_Kipling"", ""title"": ""Wikipedia"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/1/1c/Rudyard_Kipling_%28portrait%29.jpg
6,"Rudolfo A. Anaya",none,none,none,"""none""",""
7,"James Baldwin","{'type': '/type/text', 'value': ""James Arthur Baldwin was an American novelist, writer, playwright, poet, essayist and civil rights activist. Most of Baldwin's work deals with racial and sexual issues in the mid-20th century in the United States. His novels are notable for the personal way in which they explore questions of identity as well as the way in which they mine complex social and psychological pressures related to being black and homosexual well before the social, cultural or political equality of these groups was improved.\r\n\r\nSource and more information: https://en.wikipedia.org/wiki/James_Baldwin""}","2 August 1924","30 November 1987","[{""url"": ""https://en.wikipedia.org/wiki/James_Baldwin"", ""title"": ""Wikipedia"", ""type"": {""key"": ""/type/link""}}, {""title"": ""BookBrainz"", ""url"": ""https://bookbrainz.org/author/034280de-a359-4928-8035-c6f66ba54f6a"", ""type"": {""key"": ""/type/link""}}, {""title"": ""inventaire.io"", ""url"": ""https://inventaire.io/entity/wd:Q273210"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/f/f3/James_Baldwin_37_Allan_Warren_%28cropped%29.jpg
8,"Fiona Davis",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/4/43/FionaDavis_NPCBookFair_02Novt2018_%2845650594982%29.jpg
9,"Robert Louis Stevenson","Robert Louis Stevenson (born Robert Lewis Balfour Stevenson; 13 November 1850 – 3 December 1894) was a Scottish novelist, essayist, poet and travel writer. He is best known for works such as Treasure Island, Strange Case of Dr Jekyll and Mr Hyde, Kidnapped and A Child's Garden of Verses.","13 November 1850","3 December 1894","""none""",https://upload.wikimedia.org/wikipedia/commons/7/7a/Robert_Louis_Stevenson_by_Henry_Walter_Barnett_bw.jpg
10,"Lytton Smith",none,none,none,"""none""",""
