id,name,publisher,description,ISBN_Identifiers,averageRating,ratingsCount,imageLinks,pageCount,genres_id
1,"The House of the Seven Gables",none,"Why buy our paperbacks? Standard Font size of 10 for all books High Quality Paper Fulfilled by Amazon Expedited shipping 30 Days Money Back Guarantee BEWARE of Low-quality sellers Don't buy cheap paperbacks just to save a few dollars. Most of them use low-quality papers & binding. Their pages fall off easily. Some of them even use very small font size of 6 or less to increase their profit margin. It makes their books completely unreadable. How is this book unique? Unabridged (100% Original content) Formatted for e-reader Font adjustments & biography included Illustrated About The House of the Seven Gables by Nathaniel Hawthorne","[{""type"": ""ISBN_10"", ""identifier"": ""1539740838""}, {""type"": ""ISBN_13"", ""identifier"": ""9781539740834""}]",0,0,"""none""",238,1
2,"Agamemnon's Daughter","Arcade Publishing","In the title novella, a young man working for the state-controlled media agency experiences a vision of the ancient general Agamemnon, who warns him of the repercussions of his love affair with a high-ranking official's daughter, in a collection that also includes the short stories ""The Blinding Order"" and ""The Great Wall.""","[{""type"": ""ISBN_10"", ""identifier"": ""1559707887""}, {""type"": ""ISBN_13"", ""identifier"": ""9781559707886""}]",2,2,"{""smallThumbnail"": ""http://books.google.com/books/content?id=kHC0z2yD464C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=kHC0z2yD464C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}",252,25
3,"Oliver Twist Illustrated",none,"""Oliver Twist; or, the Parish Boy's Progress is Charles Dickens's second novel, and was first published as a serial 1837-39.[1] The story centres on orphan Oliver Twist, born in a workhouse and sold into apprenticeship with an undertaker. After escaping, Oliver travels to London, where he meets """"The Artful Dodger"""", a member of a gang of juvenile pickpockets led by the elderly criminal, Fagin.Oliver Twist is notable for its unromantic portrayal by Dickens of criminals and their sordid lives, as well as for exposing the cruel treatment of the many orphans in London in the mid-19th century.[2] The alternative title, The Parish Boy's Progress, alludes to Bunyan's The Pilgrim's Progress, as well as the 18th-century caricature series by William Hogarth, A Rake's Progress and A Harlot's Progress.[3]In this early example of the social novel, Dickens satirises the hypocrisies of his time, including child labour, the recruitment of children as criminals, and the presence of street children. The novel may have been inspired by the story of Robert Blincoe, an orphan whose account of working as a child labourer in a cotton mill was widely read in the 1830s. It is likely that Dickens's own youthful experiences contributed as well.Oliver Twist has been the subject of numerous adaptations for various media, including a highly successful musical play, Oliver!, and the multiple Academy Award-winning 1968 motion picture. Disney also put its spin on the novel with the animated film called Oliver & Company in 1988""","[{""type"": ""ISBN_13"", ""identifier"": ""9798693732179""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=giD4zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=giD4zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",582,1
4,"A Fire Endless","Harper Voyager","""Swept me away from the very first page . . . Truly magical."" -- Genevieve Gornichec, bestselling author of The Witch's Heart, on A River Enchanted In the stunning conclusion to the #1 internationally bestselling Elements of Cadence duology that began with A River Enchanted, A Fire Endless finds the tenuous balance between the human and faery realm threatened by Bane, the spirit of the North Wind, whose defeat may require Jack, Adaira, Torin, and Sidra to pay the ultimate price. East and West. Humans and Spirits. Breccans and Tamerlaines. The Isle of Cadence has always held itself and its residents in a tenuous balance. But now Bane, the spirit of the North Wind, has pushed everyone and everything in his path off-kilter in a bid to claim dominion over human and spirit alike. In the East, a sickness is spreading through the orchards, affecting the people of the Tamerlaine clan. As their healer, Sidra desperately searches for a cure while her husband Torin, the clan's new leader, attempts to draw answers from the spirits. But humans were never meant to walk for long amongst the elementals, and the deeper he strays into their realm, the further lost he and the clan become. In the West, Adaira finds it hard to adjust to the more brutal way of life that the Breccans embrace. Both the clan and the spirits suffer beneath Bane's command, whose growing power can be felt in every gust of wind. With the island falling further out of balance, Jack decides to take up his harp and cross the clan line, to not only reunite with Adaira but to unravel a sinister mystery that would grant him the knowledge to defeat Bane and restore peace to the isle. Yet no one can challenge the North Wind without paying a price, and the sacrifice required this time may just be the ultimate one.Torin, and Sidra can bear to pay.","[{""type"": ""ISBN_10"", ""identifier"": ""0063056046""}, {""type"": ""ISBN_13"", ""identifier"": ""9780063056046""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=qh6UzwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=qh6UzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",0,15
5,"Great Expectations by Charles Dickens - Delphi Classics (Illustrated)","Delphi Classics","This eBook features the unabridged text of ‘Great Expectations’ from the bestselling edition of ‘The Complete Works of Charles Dickens’. Having established their name as the leading publisher of classic literature and art, Delphi Classics produce publications that are individually crafted with superior formatting, while introducing many rare texts for the first time in digital print. The Delphi Classics edition of Dickens includes original annotations and illustrations relating to the life and works of the author, as well as individual tables of contents, allowing you to navigate eBooks quickly and easily. eBook features: * The complete unabridged text of ‘Great Expectations’ * Beautifully illustrated with images related to Dickens’s works * Individual contents table, allowing easy navigation around the eBook * Excellent formatting of the textPlease visit www.delphiclassics.com to learn more about our wide range of titles","[{""type"": ""ISBN_13"", ""identifier"": ""9781786566997""}, {""type"": ""ISBN_10"", ""identifier"": ""1786566990""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=85PWDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=85PWDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}",661,1
6,"The Locked Room","Sun and Moon Press","""The Locked Room is the story of a writer who lacks the creativity to produce fiction. Fanshawe, his childhood friend, has produced creative work, and when he disappears the writer publishes his work and replaces him in his family. When Fanshawe disappears, leaving behind a wife, a baby and an extraordinary cache of novels, plays and poems, his boyhood friend is lured obsessively into the life that Fanshawe left behind.""--Goodreads","[{""type"": ""OTHER"", ""identifier"": ""UOM:39015013887412""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=Py7uAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=Py7uAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",192,8
7,"Men Without Women","Simon and Schuster","A collection of 14 short stories reveals Hemingway's impressions of life and mankind.","[{""type"": ""ISBN_13"", ""identifier"": ""9780684825861""}, {""type"": ""ISBN_10"", ""identifier"": ""0684825864""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=DXPtAQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=DXPtAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}",160,26
8,"Twenty-four Hours in the Life of a Woman","Pushkin Press","The dramatic disappearance of the wife of a wealthy businessman from a small hotel on the French Riviera prompts a distinguished English widow to recount her fleeting encounter with a young aristocrat many years before in Monte Carlo. Impulsively following the broken man as he stumbles from the roulette table, she embarks on twenty-four hours of ecstasy, redemption and betrayal which will haunt her life forever.","[{""type"": ""ISBN_10"", ""identifier"": ""1901285480""}, {""type"": ""ISBN_13"", ""identifier"": ""9781901285482""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=orRwQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=orRwQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",0,11
9,"The New York Trilogy",Penguin,"The remarkable, acclaimed series of interconnected detective novels City of Glass, Ghosts, and The Locked Room, from New York Times bestselling author Paul Auster. This Penguin Classics Deluxe Edition includes an introduction from author and professor Lucy Sante, as well as a pulp novel-inspired cover from Art Spiegelman, Pulitzer Prize-winning graphic artist of Maus and In the Shadow of No Towers. “Exhilarating . . . a brilliant investigation of the storyteller’s art guided by a writer-detective who’s never satisfied with just the facts.”—The Philadelphia Inquirer City of Glass: As a result of a strange phone call in the middle of the night, Quinn, a writer of detective stories, becomes enmeshed in a case more puzzling than any he might have written. Ghosts: Blue, a student of Brown, has been hired by White to spy on Black. From a window of a rented room on Orange Street, Blue keeps watch on his subject, who is across the street, staring out of his own window. The Locked Room: Fanshawe has disappeared, leaving behind his wife and baby and a cache of extraordinary novels, plays, and poems. What happened to him and why is the narrator, Fanshawe’s boyhood friend, lured obsessively into his life? Moving at the breathless pace of a thriller, this is a uniquely stylized trilogy of detective novels that The Washington Post Book World has classified as “post-existential private eye. . . . It’s as if Kafka has gotten hooked on the gumshoe game and penned his own ever-spiraling version.” Penguin Classics is the leading publisher of classic literature in the English-speaking world, representing a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","[{""type"": ""ISBN_13"", ""identifier"": ""9780143039839""}, {""type"": ""ISBN_10"", ""identifier"": ""0143039830""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=AVqYDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=AVqYDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}",322,25
10,"The Shadow of the Wind","Text Publishing","Barcelona 1945: young Daniel Sempere is taken to a fabulous secret library called the Cemetery of Forgotten Books where he is told he must 'adopt' a single book, promising to care for it always. Entranced by his chosen book, The Shadow of the Wind, Daniel begins a quest to find the truth about the life and death of its mysterious author.","[{""type"": ""ISBN_13"", ""identifier"": ""9781921921704""}, {""type"": ""ISBN_10"", ""identifier"": ""1921921706""}]",4,22,"{""smallThumbnail"": ""http://books.google.com/books/content?id=6-7dwAgTFfEC&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=6-7dwAgTFfEC&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",553,25
