id,name
1,Fiction
2,"Literary Criticism"
3,Poetry
4,"Children's Literature"
5,"Creative ability in science"
6,"Biography & Autobiography"
7,"Private investigators"
8,"Detective and mystery stories"
9,"Large print books"
10,"Fiction in English"
11,Emotions
12,Art
13,"Creation in art"
14,"Ayesha (Fictitious character : Haggard)"
15,"Fantasy fiction"
16,Religion
17,"Blessing and cursing"
18,"Best Seller"
19,Philosophy
20,Correspondence
21,"Travel Literature"
22,Politics
23,"Science Fiction"
24,Drama
25,"Contemporary Fiction"
26,"Short Stories"
27,"Historical Fiction"
28,Horror
